Hora,Mode,PremioID
11:00,1,KRISPYKREME
11:01,1,SUERTEPROXIMA
11:02,1,KRISPYKREME
11:04,1,KRISPYKREME
11:05,1,SUERTEPROXIMA
11:06,1,SUERTEPROXIMA
11:08,1,ENTRADASCINE
11:09,1,BOMBILLOS
11:10,1,SUERTEPROXIMA
11:12,1,SUERTEPROXIMA
11:13,1,SUERTEPROXIMA
11:14,1,BOMBILLOS
11:16,1,SUERTEPROXIMA
11:17,1,SUERTEPROXIMA
11:18,1,KRISPYKREME
11:20,1,SUERTEPROXIMA
11:21,1,KRISPYKREME
11:22,1,SUERTEPROXIMA
11:24,1,KRISPYKREME
11:25,1,SUERTEPROXIMA
11:27,1,BOMBILLOS
11:28,1,BOMBILLOS
11:29,1,SUERTEPROXIMA
11:31,1,BOMBILLOS
11:32,1,SUERTEPROXIMA
11:33,1,KRISPYKREME
11:35,1,KRISPYKREME
11:36,1,SUERTEPROXIMA
11:37,1,TAZAS
11:39,1,SUERTEPROXIMA
11:40,1,SUERTEPROXIMA
11:41,1,ENTRADASCINE
11:43,1,TAZAS
11:44,1,SUERTEPROXIMA
11:45,1,BOMBILLOS
11:47,1,BOMBILLOS
11:48,1,SUERTEPROXIMA
11:49,1,ENTRADASCINE
11:51,1,SUERTEPROXIMA
11:52,1,SUERTEPROXIMA
11:54,1,BOMBILLOS
11:55,1,TAZAS
11:56,1,SUERTEPROXIMA
11:58,1,BOMBILLOS
11:59,1,KRISPYKREME
12:00,1,SUERTEPROXIMA
12:02,1,SUERTEPROXIMA
12:03,1,KRISPYKREME
12:04,1,KRISPYKREME
12:06,1,SUERTEPROXIMA
12:07,1,SUERTEPROXIMA
12:08,1,TAZAS
12:10,1,SUERTEPROXIMA
12:11,1,KRISPYKREME
12:12,1,SUERTEPROXIMA
12:14,1,BOMBILLOS
12:15,1,SUERTEPROXIMA
12:16,1,SUERTEPROXIMA
12:18,1,BOMBILLOS
12:19,1,BOMBILLOS
12:21,1,SUERTEPROXIMA
12:22,1,KRISPYKREME
12:23,1,SUERTEPROXIMA
12:25,1,SUERTEPROXIMA
12:26,1,BOMBILLOS
12:27,1,TAZAS
12:29,1,SUERTEPROXIMA
12:30,1,SUERTEPROXIMA
12:31,1,BOMBILLOS
12:33,1,SUERTEPROXIMA
12:34,1,SUERTEPROXIMA
12:35,1,ENTRADASCINE
12:37,1,ENTRADASCINE
12:38,1,SUERTEPROXIMA
12:39,1,SUERTEPROXIMA
12:41,1,TAZAS
12:42,1,SUERTEPROXIMA
12:43,1,SUERTEPROXIMA
12:45,1,BOMBILLOS
12:46,1,SUERTEPROXIMA
12:48,1,SUERTEPROXIMA
12:49,1,ENTRADASCINE
12:50,1,ENTRADASCINE
12:52,1,SUERTEPROXIMA
12:53,1,SUERTEPROXIMA
12:54,1,ENTRADASCINE
12:56,1,KRISPYKREME
12:57,1,SUERTEPROXIMA
12:58,1,BOMBILLOS
13:00,1,SUERTEPROXIMA
13:01,1,TAZAS
13:02,1,SUERTEPROXIMA
13:04,1,BOMBILLOS
13:05,1,SUERTEPROXIMA
13:06,1,SUERTEPROXIMA
13:08,1,TAZAS
13:09,1,SUERTEPROXIMA
13:10,1,SUERTEPROXIMA
13:12,1,TAZAS
13:13,1,KRISPYKREME
13:15,1,SUERTEPROXIMA
13:16,1,SUERTEPROXIMA
13:17,1,TAZAS
13:19,1,SUERTEPROXIMA
13:20,1,ENTRADASCINE
13:21,1,BOMBILLOS
13:23,1,SUERTEPROXIMA
13:24,1,SUERTEPROXIMA
13:25,1,TAZAS
13:27,1,BOMBILLOS
13:28,1,SUERTEPROXIMA
13:29,1,TAZAS
13:31,1,SUERTEPROXIMA
13:32,1,BOMBILLOS
13:33,1,KRISPYKREME
13:35,1,SUERTEPROXIMA
13:36,1,ENTRADASCINE
13:37,1,ENTRADASCINE
13:39,1,SUERTEPROXIMA
13:40,1,SUERTEPROXIMA
13:42,2,MONTSANT
13:43,2,MONTSANT
13:44,2,SUERTEPROXIMA
13:46,2,SUERTEPROXIMA
13:47,2,KRISPYKREME
13:48,2,SUERTEPROXIMA
13:50,2,SUERTEPROXIMA
13:51,2,KRISPYKREME
13:52,2,ENTRADASCINE
13:54,2,SUERTEPROXIMA
13:55,2,ENTRADASCINE
13:56,2,SUERTEPROXIMA
13:58,2,SUERTEPROXIMA
13:59,2,TRIODONAS
14:00,2,ENTRADASCINE
14:02,2,SUERTEPROXIMA
14:03,2,ENTRADASCINE
14:04,2,ENTRADASCINE
14:06,2,SUERTEPROXIMA
14:07,2,KRISPYKREME
14:09,2,TAZAS
14:10,2,SUERTEPROXIMA
14:11,2,MONTSANT
14:13,2,ENTRADASCINE
14:14,2,SUERTEPROXIMA
14:15,2,SUERTEPROXIMA
14:17,2,TAZAS
14:18,2,ENTRADASCINE
14:19,2,SUERTEPROXIMA
14:21,2,SUERTEPROXIMA
14:22,2,TAZAS
14:23,2,SUERTEPROXIMA
14:25,2,ENTRADASCINE
14:26,2,ENTRADASCINE
14:27,2,SUERTEPROXIMA
14:29,2,ENTRADASCINE
14:30,2,SUERTEPROXIMA
14:31,2,SUERTEPROXIMA
14:33,2,TAZAS
14:34,2,SUERTEPROXIMA
14:36,2,SUERTEPROXIMA
14:37,2,BOMBILLOS
14:38,2,BOMBILLOS
14:40,2,SUERTEPROXIMA
14:41,2,KRISPYKREME
14:42,2,ENTRADASCINE
14:44,2,SUERTEPROXIMA
14:45,2,SUERTEPROXIMA
14:46,2,TAZAS
14:48,2,TRIODONAS
14:49,2,SUERTEPROXIMA
14:50,2,BOMBILLOS
14:52,2,ENTRADASCINE
14:53,2,SUERTEPROXIMA
14:54,2,TAZAS
14:56,2,SUERTEPROXIMA
14:57,2,ENTRADASCINE
14:58,2,SUPEREXITO-20
15:00,2,SUERTEPROXIMA
15:01,2,SUERTEPROXIMA
15:03,2,TRIODONAS
15:04,2,MONTSANT
15:05,2,SUERTEPROXIMA
15:07,2,DMUJERES-20
15:08,2,ENTRADASCINE
15:09,2,SUERTEPROXIMA
15:11,2,DMUJERES-20
15:12,2,SUPEREXITO-20
